FIPS,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,NPOPCHG_2010,NPOPCHG_2011,NPOPCHG_2012,NPOPCHG_2013,BIRTHS2010,BIRTHS2011,BIRTHS2012,BIRTHS2013,DEATHS2010,DEATHS2011,DEATHS2012,DEATHS2013,NATURALINC2010,NATURALINC2011,NATURALINC2012,NATURALINC2013,INTERNATIONALMIG2010,INTERNATIONALMIG2011,INTERNATIONALMIG2012,INTERNATIONALMIG2013,DOMESTICMIG2010,DOMESTICMIG2011,DOMESTICMIG2012,DOMESTICMIG2013,NETMIG2010,NETMIG2011,NETMIG2012,NETMIG2013,RESIDUAL2010,RESIDUAL2011,RESIDUAL2012,RESIDUAL2013,GQESTIMATESBASE2010,GQESTIMATES2010,GQESTIMATES2011,GQESTIMATES2012,GQESTIMATES2013,RBIRTH2011,RBIRTH2012,RBIRTH2013,RDEATH2011,RDEATH2012,RDEATH2013,RNATURALINC2011,RNATURALINC2012,RNATURALINC2013,RINTERNATIONALMIG2011,RINTERNATIONALMIG2012,RINTERNATIONALMIG2013,RDOMESTICMIG2011,RDOMESTICMIG2012,RDOMESTICMIG2013,RNETMIG2011,RNETMIG2012,RNETMIG2013
21059,96656,96659,96721,97215,97737,98218,62,494,522,481,323,1294,1312,1301,264,971,945,964,59,323,367,337,9,27,27,28,-1,158,140,75,8,185,167,103,-5,-14,-12,41,2581,2581,2581,2581,2581,13.344608530999999,13.459723419000001,13.278558853,10.013612737999999,9.6946940785,9.8389936465,3.3309957924,3.7650293406,3.4395652062999997,0.2784423727,0.2769912594,0.2857798984,1.6294035146,1.4362509746,0.7654818708,1.9078458873,1.713242234,1.0512617693000001
21061,12161,12161,12186,12263,12108,12062,25,77,-155,-46,28,110,95,92,18,126,128,137,10,-16,-33,-45,0,0,0,0,17,60,-122,10,17,60,-122,10,-2,33,0,-11,323,349,350,351,356,8.9983230398,7.7961511633,7.6127430699000005,10.307170027,10.504287883,11.336367398,-1.308846988,-2.70813672,-3.723624328,0.0,0.0,0.0,4.9081762035,-10.01189939,0.8274720728,4.9081762035,-10.01189939,0.8274720728
21063,7852,7852,7885,7919,7751,7637,33,34,-168,-114,19,59,35,35,27,67,56,66,-8,-8,-21,-31,0,0,0,0,49,1,-151,-63,49,1,-151,-63,-8,41,4,-20,1061,1061,1061,1061,1061,7.4664641863,4.4671346522,4.5489992202,8.4788661098,7.1474154435,8.578112815199999,-1.012401924,-2.680280791,-4.029113595,0.0,0.0,0.0,0.12655024039999999,-19.27249521,-8.188198596,0.12655024039999999,-19.27249521,-8.188198596
21065,14672,14672,14697,14649,14498,14488,25,-48,-151,-10,46,171,151,154,24,178,180,170,22,-7,-29,-16,0,0,0,0,5,-46,-125,-2,5,-46,-125,-2,-2,5,3,8,118,118,118,118,118,11.654058475,10.361272172,10.625819361,12.131125196,12.351185371,11.729800593,-0.477066721,-1.989913199,-1.103981232,0.0,0.0,0.0,-3.135009882,-8.577212063,-0.137997654,-3.135009882,-8.577212063,-0.137997654
21067,295803,295803,296708,301313,305252,308428,905,4605,3939,3176,951,4003,3937,3974,450,2047,2056,2056,501,1956,1881,1918,247,1084,1092,1109,149,1616,960,134,396,2700,2052,1243,8,-51,6,15,12804,12825,12818,12855,12853,13.387489737000001,12.981296316,12.95137531,6.845913437799999,6.779158045700001,6.7005605527,6.5415762992,6.2021382704,6.2508147569000005,3.6252907507,3.6006033977999996,3.6142615044,5.4044924844,3.1653656244999997,0.43670968579999997,9.029783235,6.7659690223,4.050971190199999
21069,14348,14355,14393,14478,14515,14508,38,85,37,-7,42,186,178,173,18,162,158,163,24,24,20,10,0,1,1,1,16,68,17,-10,16,69,18,-9,-2,-8,-1,-8,22,22,22,22,22,12.884901805,12.278825923,11.921579437,11.22233383,10.899182560999998,11.232470799000001,1.6625679748,1.3796433622,0.689108638,0.06927366559999999,0.06898216809999999,0.0689108638,4.7106092619,1.1726968579000001,-0.689108638,4.7798829275,1.241679026,-0.620197774
21071,39451,39451,39934,39807,39127,38728,483,-127,-680,-399,142,530,517,501,154,493,538,523,-12,37,-21,-22,0,2,2,2,453,-164,-677,-382,453,-162,-675,-380,42,-2,16,3,790,1298,1322,987,980,13.293036205,13.099551524,12.870078993,12.36503179,13.631641625,13.435232162,0.9280044143,-0.532090101,-0.565153169,0.0501624008,0.050675247699999995,0.0513775609,-4.1133168630000005,-17.15357134,-9.813114122,-4.063154463,-17.10289609,-9.761736562000001
21073,49285,49285,49254,49301,49496,49648,-31,47,195,152,126,554,536,539,154,492,462,461,-28,62,74,78,15,64,73,60,-12,-85,53,-24,3,-21,126,36,-6,6,-5,38,2061,2062,2062,1869,1871,11.242453452000001,10.850531899000002,10.873073509000001,9.9842727411,9.3525107038,9.2996046155,1.2581807112999999,1.498021195,1.5734688937,1.2987671858,1.4777776653,1.2103606875,-1.724925169,1.0729070721,-0.484144275,-0.42615798299999996,2.5506847374,0.7262164125
21075,6813,6813,6825,6719,6528,6385,12,-106,-191,-143,30,96,72,70,35,100,108,97,-5,-4,-36,-27,0,0,0,0,18,-118,-159,-112,18,-118,-159,-112,-1,16,4,-4,445,445,445,445,445,14.176018900999999,10.870385748,10.841787345999998,14.766686356,16.305578622,15.023619607999999,-0.590667454,-5.435192874,-4.1818322619999995,0.0,0.0,0.0,-17.424689899999997,-24.00543519,-17.34685975,-17.424689899999997,-24.00543519,-17.34685975
21077,8589,8589,8605,8550,8462,8474,16,-55,-88,12,26,122,104,108,9,96,70,68,17,26,34,40,5,15,11,11,-5,-104,-131,-9,0,-89,-120,2,-1,8,-2,-30,85,85,85,85,85,14.223258525,12.226663532,12.753897024,11.192072282,8.2294850694,8.0302314596,3.0311862431,3.9971784623000004,4.7236655645,1.7487612941,1.2932047966,1.2990080302,-12.12474497,-15.40089349,-1.062824752,-10.37598368,-14.10768869,0.2361832782
