IV,Variables
0.04113506786481022,NIA_MR2000_VAL
0.03249091836049442,NIA_MR2000_LB
0.03249091836049442,NIA_MR2000_UB
0.01446813004717293,NIA_MR2005_VAL
0.023941734901607965,NIA_MR2005_LB
0.023941734901607965,NIA_MR2005_UB
0.07651261583377042,NIA_MR2010_VAL
0.06618901547857589,NIA_MR2010_LB
0.06618901547857589,NIA_MR2010_UB
0.272103802397768,NIA_PC1980_2010
0.03492047381669155,MSU_MR1980_VAL
0.03725316862645032,MSU_MR1980_LB
0.03725316862645032,MSU_MR1980_UB
0.05029900695897986,MSU_MR1985_VAL
0.05363732146970905,MSU_MR1985_LB
0.05363732146970905,MSU_MR1985_UB
0.05659116293208976,MSU_MR1990_VAL
0.07864522050093267,MSU_MR1990_LB
0.07864522050093267,MSU_MR1990_UB
0.10940419034822346,MSU_MR1995_VAL
0.11511962064662794,MSU_MR1995_LB
0.11511962064662794,MSU_MR1995_UB
0.1420675170047425,MSU_MR2000_VAL
0.15597610113086072,MSU_MR2000_LB
0.15597610113086072,MSU_MR2000_UB
0.23914021371341823,MSU_MR2005_VAL
0.2475245062253301,MSU_MR2005_LB
0.2475245062253301,MSU_MR2005_UB
0.3504182520414923,MSU_MR2010_VAL
0.32044228277984,MSU_MR2010_LB
0.32044228277984,MSU_MR2010_UB
0.31629311518152803,MSU_PC1980_2010
0.10232882014369477,DUB_MR1980_VAL
0.12295833050580482,DUB_MR1980_LB
0.12295833050580482,DUB_MR1980_UB
0.15444556468152282,DUB_MR1985_VAL
0.16464953277287228,DUB_MR1985_LB
0.16464953277287228,DUB_MR1985_UB
0.17505730916526352,DUB_MR1990_VAL
0.1881309761591715,DUB_MR1990_LB
0.1881309761591715,DUB_MR1990_UB
0.20906987396652338,DUB_MR1995_VAL
0.23256207974307774,DUB_MR1995_LB
0.23256207974307774,DUB_MR1995_UB
0.2567528386465704,DUB_MR2000_VAL
0.26918603425002474,DUB_MR2000_LB
0.26918603425002474,DUB_MR2000_UB
0.29092169672897683,DUB_MR2005_VAL
0.30426618046136356,DUB_MR2005_LB
0.30426618046136356,DUB_MR2005_UB
0.3162352639531742,DUB_MR2010_VAL
0.33748869314937696,DUB_MR2010_LB
0.33748869314937696,DUB_MR2010_UB
0.09225738446946473,DUB_PC1980_2010
0.023231140762387692,MIA_MR1980_VAL
0.026830604866368193,MIA_MR1980_LB
0.026830604866368193,MIA_MR1980_UB
0.01390828809015948,MIA_MR1985_VAL
